WARNING 2026-06-20 12:36:13,140 log 23076 27724 Not Found: /media/productos/agua-san-luis-625ml.png
WARNING 2026-06-20 12:36:13,142 basehttp 23076 27772 "GET /media/productos/Arroz_9GQbrr3.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:36:13,142 log 23076 27708 Not Found: /media/productos/arroz-extra-costeño5kg.png
WARNING 2026-06-20 12:36:13,143 basehttp 23076 27724 "GET /media/productos/agua-san-luis-625ml.png HTTP/1.1" 404 2663
WARNING 2026-06-20 12:36:13,144 basehttp 23076 27708 "GET /media/productos/arroz-extra-coste%C3%B1o5kg.png HTTP/1.1" 404 2683
WARNING 2026-06-20 12:36:13,203 log 23076 27732 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 12:36:13,203 basehttp 23076 27732 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 12:36:13,272 log 24008 28016 Forbidden: /api/productos/
WARNING 2026-06-20 12:36:13,274 log 24008 28016 Forbidden: /api/productos/1/ajustar/
WARNING 2026-06-20 12:36:13,459 log 23076 27716 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 12:36:13,460 basehttp 23076 27716 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:36:13,476 log 23076 27712 Not Found: /media/productos/Arroz_9GQbrr3.png
WARNING 2026-06-20 12:36:13,477 log 23076 27720 Not Found: /media/productos/agua-san-luis-625ml.png
WARNING 2026-06-20 12:36:13,478 log 23076 27704 Not Found: /media/productos/arroz-extra-costeño5kg.png
WARNING 2026-06-20 12:36:13,479 basehttp 23076 27720 "GET /media/productos/agua-san-luis-625ml.png HTTP/1.1" 404 2663
WARNING 2026-06-20 12:36:13,479 basehttp 23076 27712 "GET /media/productos/Arroz_9GQbrr3.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:36:13,479 basehttp 23076 27704 "GET /media/productos/arroz-extra-coste%C3%B1o5kg.png HTTP/1.1" 404 2683
WARNING 2026-06-20 12:36:17,353 log 24008 28016 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:36:18,097 log 24008 28016 Forbidden: /api/usuarios/1/toggle-activo/
WARNING 2026-06-20 12:36:19,043 log 24008 28016 Unauthorized: /api/usuarios/
WARNING 2026-06-20 12:36:19,044 log 24008 28016 Forbidden: /api/usuarios/
WARNING 2026-06-20 12:36:24,036 log 24008 28016 Bad Request: /api/ventas/
WARNING 2026-06-20 12:37:48,067 log 23076 27692 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 12:37:48,068 basehttp 23076 27692 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 12:37:48,373 log 23076 27696 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 12:37:48,374 basehttp 23076 27696 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:38:28,534 log 23076 21668 Not Found: /media/productos/agua-cielo-1L.png
WARNING 2026-06-20 12:38:28,535 log 23076 21616 Not Found: /media/productos/Aceite_SxYC2rM.png
WARNING 2026-06-20 12:38:28,536 basehttp 23076 21668 "GET /media/productos/agua-cielo-1L.png HTTP/1.1" 404 2639
WARNING 2026-06-20 12:38:28,536 basehttp 23076 21616 "GET /media/productos/Aceite_SxYC2rM.png HTTP/1.1" 404 2643
WARNING 2026-06-20 12:38:46,587 log 23076 6884 Not Found: /api/mercados/1/
WARNING 2026-06-20 12:38:46,587 basehttp 23076 6884 "PATCH /api/mercados/1/ HTTP/1.1" 404 48
WARNING 2026-06-20 12:38:51,813 log 23076 6884 Not Found: /api/mercados/1/
WARNING 2026-06-20 12:38:51,814 basehttp 23076 6884 "PATCH /api/mercados/1/ HTTP/1.1" 404 48
WARNING 2026-06-20 12:41:09,877 log 27064 23792 Forbidden: /api/kardex/
WARNING 2026-06-20 12:41:10,648 log 27064 23792 Forbidden: /api/inventario/valoracion/
WARNING 2026-06-20 12:41:10,649 log 27064 23792 Forbidden: /api/productos/importar/
WARNING 2026-06-20 12:41:11,307 log 27064 23792 Forbidden: /api/productos/
WARNING 2026-06-20 12:41:11,308 log 27064 23792 Forbidden: /api/productos/1/ajustar/
WARNING 2026-06-20 12:41:15,342 log 27064 23792 Unauthorized: /api/auth/login/
WARNING 2026-06-20 12:41:16,116 log 27064 23792 Forbidden: /api/usuarios/1/toggle-activo/
WARNING 2026-06-20 12:41:17,018 log 27064 23792 Unauthorized: /api/usuarios/
WARNING 2026-06-20 12:41:17,020 log 27064 23792 Forbidden: /api/usuarios/
